Fecha,IdCliente,IdEjercicio,Progreso
2024-05-01,111,4,5.0
2024-05-01,111,5,7.0
2024-05-01,111,33,14.0
2024-05-01,111,13,15.0
2024-05-01,111,1,77.5
2024-05-01,111,44,8.0
2024-05-01,111,29,23.0
2024-05-01,111,10,33.0
2024-05-01,111,7,14.0
2024-05-01,111,9,26.0
2024-05-01,111,20,60.0
2024-05-01,111,15,82.5
2024-05-01,111,41,15.0
2024-05-01,55,22,46.0
2024-05-01,55,1,62.5
2024-05-01,55,16,160.0
2024-05-01,55,44,22.0
2024-05-01,55,25,33.0
2024-05-01,58,16,140.0
2024-05-01,58,12,70.0
2024-05-01,58,13,21.0
2024-05-01,58,40,18.0
2024-05-01,58,36,5.0
2024-05-01,278,45,47.5
2024-05-01,278,48,219.0
2024-05-01,278,17,68.0
2024-05-01,278,42,82.0
2024-05-01,278,16,40.0
2024-05-01,278,6,25.0
2024-05-01,278,16,60.0
2024-05-01,171,4,6.0
2024-05-01,171,11,46.0
2024-05-01,171,12,65.0
2024-05-01,171,32,19.0
2024-05-01,171,8,55.0
2024-05-01,171,38,82.0
2024-05-01,171,1,67.5
2024-05-01,322,46,113.0
2024-05-01,322,26,13.0
2024-05-01,322,17,89.0
2024-05-01,322,43,30.0
2024-05-01,322,44,17.0
2024-05-01,322,39,21.0
2024-05-01,322,20,50.0
2024-05-01,322,43,25.0
2024-05-01,200,4,25.0
2024-05-01,200,38,61.0
2024-05-01,200,22,38.0
2024-05-01,200,34,10.0
2024-05-01,200,17,5.0
2024-05-01,205,11,18.0
2024-05-01,205,21,80.0
2024-05-01,205,26,25.0
2024-05-01,205,25,68.0
2024-05-01,205,47,131.0
2024-05-01,205,19,131.0
2024-05-01,205,43,5.0
2024-05-01,205,24,25.0
2024-05-01,205,9,21.0
2024-05-01,205,7,14.0
2024-05-01,205,11,18.0
2024-05-01,205,39,28.0
2024-05-01,261,27,17.0
2024-05-01,261,48,328.0
2024-05-01,261,9,6.0
2024-05-01,261,26,21.0
2024-05-01,261,41,24.0
2024-05-01,261,22,22.0
2024-05-01,261,48,85.0
2024-05-01,261,44,6.0
2024-05-01,261,47,224.0
2024-05-01,261,13,18.0
2024-05-01,53,19,47.0
2024-05-01,53,1,25.0
2024-05-01,53,13,9.0
2024-05-01,53,7,22.0
2024-05-01,53,44,7.0
2024-05-01,53,16,190.0
2024-05-01,53,35,12.0
2024-05-01,53,9,22.0
2024-05-01,53,41,20.0
2024-05-01,53,41,6.0
2024-05-01,172,44,19.0
2024-05-01,172,36,7.0
2024-05-01,172,7,28.0
2024-05-01,172,32,10.0
2024-05-01,172,26,12.0
2024-05-01,172,2,30.0
2024-05-01,172,7,12.0
2024-05-01,172,24,19.0
2024-05-01,172,41,10.0
2024-05-01,172,2,15.0
2024-05-01,172,3,30.0
2024-05-01,172,30,10.0
2024-05-01,172,47,167.0
2024-05-01,172,25,124.0
2024-05-01,172,44,15.0
2024-05-01,282,18,190.0
2024-05-01,282,17,110.0
2024-05-01,282,18,80.0
2024-05-01,282,15,75.0
2024-05-01,282,20,150.0
2024-05-01,282,42,124.0
2024-05-01,282,13,8.0
2024-05-01,282,45,60.0
2024-05-01,282,34,10.0
2024-05-01,282,31,16.0
2024-05-01,282,21,120.0
2024-05-01,471,31,27.0
2024-05-01,471,16,180.0
2024-05-01,471,23,18.0
2024-05-01,471,39,16.0
2024-05-01,471,43,12.0
2024-05-01,471,20,170.0
2024-05-01,471,48,379.0
2024-05-01,471,13,25.0
2024-05-01,122,43,14.0
2024-05-01,122,5,12.0
2024-05-01,122,23,10.0
2024-05-01,122,29,28.0
2024-05-01,122,27,28.0
2024-05-01,122,38,68.0
2024-05-01,122,10,54.0
2024-05-01,122,23,46.0
2024-05-01,122,6,28.0
2024-05-01,122,43,12.0
2024-05-01,122,34,50.0
2024-05-01,133,45,32.5
2024-05-01,133,16,110.0
2024-05-01,133,37,27.5
2024-05-01,133,5,29.0
2024-05-01,133,14,89.0
2024-05-01,133,19,103.0
2024-05-01,133,12,85.0
2024-05-01,133,37,35.0
2024-05-01,133,3,35.0
2024-05-01,133,15,30.0
2024-05-01,133,20,120.0
2024-05-01,133,4,6.0
2024-05-01,133,16,40.0
2024-05-01,133,11,38.0
2024-05-01,133,5,9.0
2024-05-01,192,12,72.5
2024-05-01,192,24,13.0
2024-05-01,192,44,6.0
2024-05-01,192,9,6.0
2024-05-01,192,30,19.0
2024-05-01,192,40,14.0
2024-05-01,192,13,22.0
2024-05-01,192,34,42.0
2024-05-01,192,17,103.0
2024-05-01,192,49,303.0
2024-05-01,192,7,22.0
2024-05-01,384,6,10.0
2024-05-01,384,43,22.0
2024-05-01,384,15,92.5
2024-05-01,384,38,124.0
2024-05-01,384,25,19.0
2024-05-01,344,9,14.0
2024-05-01,344,24,26.0
2024-05-01,344,42,12.0
2024-05-01,344,8,50.0
2024-05-01,344,28,16.0
2024-05-01,484,40,22.0
2024-05-01,484,27,11.0
2024-05-01,484,12,52.5
2024-05-01,484,18,50.0
2024-05-01,484,32,28.0
