FechaHora,IdCliente
2024-05-01 05:05:46,111
2024-05-01 05:10:31,55
2024-05-01 05:11:54,58
2024-05-01 05:16:23,278
2024-05-01 05:22:09,171
2024-05-01 05:27:01,322
2024-05-01 05:30:23,200
2024-05-01 05:31:18,205
2024-05-01 05:32:05,261
2024-05-01 05:33:46,53
2024-05-01 05:35:55,172
2024-05-01 05:41:07,282
2024-05-01 05:44:35,471
2024-05-01 05:45:46,122
2024-05-01 05:49:38,133
2024-05-01 05:55:08,192
2024-05-01 05:56:10,384
2024-05-01 05:56:57,344
2024-05-01 06:00:22,484
2024-05-01 06:07:05,420
2024-05-01 06:12:45,247
2024-05-01 06:15:39,373
2024-05-01 06:19:55,11
2024-05-01 06:22:44,25
2024-05-01 06:31:32,415
2024-05-01 06:40:16,365
2024-05-01 06:46:23,188
2024-05-01 06:52:29,116
2024-05-01 07:05:31,238
2024-05-01 07:14:18,486
2024-05-01 07:26:49,456
2024-05-01 07:39:56,348
2024-05-01 07:50:45,198
2024-05-01 07:53:11,494
2024-05-01 07:55:12,99
2024-05-01 08:06:46,59
2024-05-01 08:11:07,374
2024-05-01 08:19:41,349
2024-05-01 08:23:22,29
2024-05-01 08:29:53,358
2024-05-01 08:40:36,310
2024-05-01 08:42:37,467
2024-05-01 08:55:27,360
2024-05-01 09:04:44,379
2024-05-01 09:09:58,461
2024-05-01 09:17:32,37
2024-05-01 09:24:33,83
2024-05-01 09:28:53,468
2024-05-01 09:35:04,369
2024-05-01 09:39:44,2
2024-05-01 09:45:32,272
2024-05-01 09:54:01,490
2024-05-01 10:03:47,466
2024-05-01 10:09:35,440
2024-05-01 10:12:54,101
2024-05-01 10:15:04,501
2024-05-01 10:16:56,463
2024-05-01 10:21:01,117
2024-05-01 10:30:11,64
2024-05-01 10:34:11,419
2024-05-01 10:37:04,473
2024-05-01 10:42:54,312
2024-05-01 10:48:37,383
2024-05-01 10:51:15,492
2024-05-01 10:56:23,18
2024-05-01 11:04:43,329
2024-05-01 11:11:01,210
2024-05-01 11:15:24,140
2024-05-01 11:18:41,314
2024-05-01 11:26:37,318
2024-05-01 11:34:24,359
2024-05-01 11:39:43,503
2024-05-01 11:43:05,216
2024-05-01 11:45:01,231
2024-05-01 11:47:12,375
2024-05-01 11:53:54,185
2024-05-01 12:02:04,274
2024-05-01 12:09:05,317
2024-05-01 12:14:56,154
2024-05-01 12:19:50,52
2024-05-01 12:23:21,488
2024-05-01 12:28:59,250
2024-05-01 12:31:29,166
2024-05-01 12:39:42,142
2024-05-01 12:43:41,218
2024-05-01 12:48:09,96
2024-05-01 12:51:56,403
2024-05-01 12:53:21,130
2024-05-01 12:56:01,30
2024-05-01 13:02:54,275
2024-05-01 13:05:49,507
2024-05-01 13:08:48,112
2024-05-01 13:13:41,136
2024-05-01 13:14:38,493
2024-05-01 13:15:37,340
2024-05-01 13:16:45,446
2024-05-01 13:20:17,223
2024-05-01 13:22:51,8
2024-05-01 13:28:05,361
2024-05-01 13:33:43,281
2024-05-01 13:38:44,454
2024-05-01 13:44:59,320
2024-05-01 13:46:08,245
2024-05-01 13:50:20,429
2024-05-01 13:53:34,214
2024-05-01 13:56:27,221
2024-05-01 13:58:37,153
2024-05-01 14:04:52,6
2024-05-01 14:13:55,41
2024-05-01 14:17:28,479
2024-05-01 14:27:25,189
2024-05-01 14:35:54,49
2024-05-01 14:41:28,14
2024-05-01 14:51:05,88
2024-05-01 14:56:18,292
2024-05-01 15:06:06,283
2024-05-01 15:15:20,118
2024-05-01 15:19:50,115
2024-05-01 15:26:16,444
2024-05-01 15:32:42,16
2024-05-01 15:36:52,430
2024-05-01 15:44:04,73
2024-05-01 15:50:26,390
2024-05-01 15:59:36,495
2024-05-01 16:09:01,424
2024-05-01 16:19:19,175
2024-05-01 16:25:48,98
2024-05-01 16:36:26,376
2024-05-01 16:46:58,333
2024-05-01 16:48:54,108
2024-05-01 16:54:41,395
2024-05-01 17:02:53,357
2024-05-01 17:04:31,325
2024-05-01 17:09:26,100
2024-05-01 17:15:34,87
2024-05-01 17:22:46,234
2024-05-01 17:29:56,187
2024-05-01 17:34:14,177
2024-05-01 17:38:41,387
2024-05-01 17:43:36,402
2024-05-01 17:49:02,132
2024-05-01 17:55:49,72
2024-05-01 18:01:34,168
2024-05-01 18:04:12,151
2024-05-01 18:12:08,452
2024-05-01 18:15:04,378
2024-05-01 18:21:06,262
2024-05-01 18:25:08,121
2024-05-01 18:27:02,284
2024-05-01 18:30:55,289
2024-05-01 18:36:26,434
2024-05-01 18:44:25,114
2024-05-01 18:48:13,152
2024-05-01 18:49:43,65
2024-05-01 18:56:44,137
2024-05-01 18:58:57,489
2024-05-01 19:03:28,370
2024-05-01 19:05:48,324
2024-05-01 19:12:53,496
2024-05-01 19:17:18,43
2024-05-01 19:22:30,233
2024-05-01 19:23:55,459
2024-05-01 19:30:26,207
2024-05-01 19:37:51,123
2024-05-01 19:40:04,371
2024-05-01 19:44:43,350
2024-05-01 19:48:17,380
2024-05-01 19:50:54,300
2024-05-01 19:55:27,194
2024-05-01 20:01:53,13
2024-05-01 20:05:54,70
